,price,dlc_count,achievements,main_story,multi-language,has_voice_acting,extra_content_hours,independent,rpg,action,adventure,sim,casual,success
297,34.99,1,0,26.73,1.0,0.0,37.269999999999996,1.0,0.0,0.0,0.0,1.0,0.0,1.0
298,39.99,6,57,14.1,1.0,1.0,22.199999999999996,0.0,1.0,1.0,1.0,0.0,0.0,1.0
299,19.79,8,69,16.5,1.0,1.0,21.57,0.0,1.0,1.0,1.0,0.0,0.0,1.0
301,14.99,1,24,6.48,1.0,1.0,14.399999999999999,1.0,1.0,1.0,0.0,0.0,0.0,1.0
306,19.99,1,33,5.98,1.0,1.0,10.34,1.0,1.0,1.0,0.0,0.0,0.0,1.0
308,19.99,1,18,12.92,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
311,12.49,1,52,8.22,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
313,14.99,1,48,9.45,1.0,0.0,36.78,1.0,0.0,0.0,0.0,0.0,0.0,1.0
314,0.74,1,3,0.32,1.0,0.0,0.08000000000000002,1.0,0.0,0.0,1.0,0.0,0.0,1.0
315,0.49,0,42,4.67,0.0,1.0,11.459999999999999,0.0,0.0,1.0,1.0,0.0,1.0,1.0
316,4.99,0,34,4.22,1.0,0.0,26.700000000000003,1.0,0.0,1.0,1.0,0.0,1.0,1.0
317,19.99,2,30,6.42,1.0,1.0,24.049999999999997,1.0,0.0,1.0,0.0,0.0,0.0,1.0
321,24.99,0,26,2.5,1.0,1.0,17.55,1.0,0.0,1.0,0.0,0.0,0.0,1.0
322,19.99,1,16,8.4,1.0,1.0,2.299999999999999,1.0,0.0,0.0,1.0,0.0,0.0,1.0
323,0.59,6,70,34.87,1.0,1.0,4.830000000000005,1.0,0.0,0.0,1.0,0.0,1.0,1.0
326,4.99,0,22,11.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
330,49.99,0,0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
